14ML1F7V3YjkgMzE0IT3Ga7L487hYbbtX,Tutorial Solutions
1IIsqUi7v-ut079pp1GiVKKgHWb1-YeN0,Previous Year Papers
 third-year/encece/acsys.html,
15HrLIG2B995Yd5MRLrXdVKLTgFt6DQOa,Syllabus
1QEv6vdEwPZckopOXa6dEPzdTe6BkC_ZI,Books/Lab Material
14BRQ0CfDQ1tcOyP2jLKtnuiybQclGyXO,Notes & Slides
1hxF5uNEVdZwfcRcDtrMBHp2V8CIIR5MK,Tutorials
1n-l-_xGqNNr8zHRxzkbUK60eTJZfNH4M,Tutorial Solutions
1X2A_f-oNDjAQCcAmeRO6Lq3T_PfEudy5,Previous Year Papers
 third-year/Common/innovationentre.html,
1z6R16F-NspB-OypSON7TznxShpYC_aMj,Syllabus
1yTR7C0aAD9hZRqKYpkm22N3ge6I8TRTT,Notes & Slides
1274LysGvGREIE8JgsAg-vP1atOFutiNK,Lab
1fa8oUFM-yMwnfxJqsLyNVa-SPlAhfBkz,Old Assignments
1tJEybtpyhXdr4dNlBAKjHktiMkKg1SCK,Previous Year Quizzes
 third-year/cse/adsa.html,
1DRiCKVxH8WiAdIoSCdeHQU4QyH4A_3yf,Syllabus
1fIqqFaTuuDuBfkutp4HgOd5ogwKy4Uw6,Books
1NVc6mCerqCFpySILJMZnyf3ySYLCoMdQ,"Lab
      Assignment"
1TRnrSRW3UxnS5rfbAZecrg3djLPcy8ar,"Notes &
      Slides"
1vxSYow4KlFc3MkVGGUlC2oDyRrABbpjt,"Previous Year
      Papers"
 third-year/cse/professionalpractices.html,
1zhIezidTVc9buK0Jol7iIYN7h9GR4Kdl,Syllabus
144E3S4-6fZKLI4kTLA73IVx_H473BArQ,Notes & Slides
 third-year/cse/toc.html,
"1oXfcoxRbYsqs-ZG8tvMnu8l6H9DFnN4m
        ",Syllabus
"13AIL4WRpvYPy3YpwUgL-YZyC9Pd9-k8n
        ",Books/Lab Material
"1UGzxOABsFOks-UclvPE0Fon8o7pSt4OI
        ",Notes & Slides
"1DGFNJrErlRPXozwUqZQNGX7cxilfVt1g
        ",Tutorials
"1rWUE1WvrAdB09Ze5ok7jDgVe8LB03f_-
        ",Tutorial Solutions
"11rIRkIc84QOWXFq57rc763S2YM1PuH3y
        ",Previous Year Papers
 third-year/cse/comparchorg.html,
1Df7XEhqKO4jm5UPW0pCq_xw9OlB7x5sp,Syllabus
1eGpGBJ7Ra_QxjgvVSjj5g9DU6QqQikHO,Books
1yL0T7P4pEmZ7NCWOK1_NzPfw8vT_EW9u,Lab
1pfBvgYqXyhxLb8PnU2uDPbiaef5nUw4a,Quiz
1QmuthC8rQ55S307Bb2BYFiybxQh6pFTw,Notes & Slides
1i_YWQ_wtod1of3A7OZ-p1g4xGXJvAZUC,Previous Year Papers
 third-year/cse/generic_electives.html,
 third-year/cse/artificalintelligence.html,
1nZblnQTgIxVYGY-LJ_PvU7Iifqwy7kAi,Books
1DnuJYq8qzbyaJeyTBX_tGRBXbct7cPeK,Notes & Slides
14AT3RUYsLfOQ7QIOYnjzMS-85zQARxM7,Tutorials
1naZVDTHm-QTvqRbdzHKHbGedb1Co6Y04,Tutorial Solutions
19xkrG-XgCGfbylOj0gdXb_NbYjmLU4Ho,Previous Year Papers
 third-year/cse/branchelectives.html,
 third-year/cse/microprocessor.html,
1gtAKQSJRM4xv2ccuA5I1494lzst1p2YH,Syllabus
1y41Ae-9w1Ark2lfDMaJLKQpk4wOoo2L9,Lab
1oSO8NoY9yTo98kOPyFl8lRU1Wft7DFCF,Books
1s8E0Q-JoDv8wqFqew4c016I5xA7nHWH3,Notes & Slides
1Cn4JL_yfZi6QEjaof5yXmvcjX7ZC8dvZ,Previous Year Papers
 third-year/cse/comparch.html,
1yL0T7P4pEmZ7NCWOK1_NzPfw8vT_EW9u,Lab
1eGpGBJ7Ra_QxjgvVSjj5g9DU6QqQikHO,Books
1QmuthC8rQ55S307Bb2BYFiybxQh6pFTw,Notes & Slides
1i_YWQ_wtod1of3A7OZ-p1g4xGXJvAZUC,Previous Year Papers
 third-year/cse/imgpros.html,
