"
      UBT602
    ","
      Bio Infoand Stats
",Lab,third-year,"1y41Ae-9w1Ark2lfDMaJLKQpk4wOoo2L9

        ",Biotech,bio-infoandbio-stat.html,,,,
"
      UEC509
    ","
      ComputerArchitecture
",Books,third-year,1pkzndNFJ7noiZYmmlAId_y7glqSZNBFn,encece,comparch.html,,,,
"
      UEC509
    ","
      ComputerArchitecture
",Notes & Slides,third-year,174LoioyGMx5_gDcEJpZ1fFvaMb9Lxdfj,encece,comparch.html,,,,
"
      UEC509
    ","
      ComputerArchitecture
",Tutorials,third-year,1ipPJYFjGQMLj1JA71MkSoRKMFcbdUIVl,encece,comparch.html,,,,
"
      UEC509
    ","
      ComputerArchitecture
",Tutorial Solutions,third-year,17uMi0hOt4nDaDGrnwGVpq0km_j-1xHKy,encece,comparch.html,,,,
"
      UEC509
    ","
      ComputerArchitecture
",Previous Year Papers,third-year,1-idc0Qanl6QJ43442MGhPsOKJqUja-hM,encece,comparch.html,,,,
"
      UEC307
    ","
      ELectromagenticFieldTheory&TransmissionLines
",Syllabus,third-year,1WR1D477rMLjj5o9T97GICdp_Fv1rM1wU,encece,emft.html,,,,
"
      UEC307
    ","
      ELectromagenticFieldTheory&TransmissionLines
",Books,third-year,1pviJ3b0ppi5Bh7LC_ko_ZuLM27DS0QeE,encece,emft.html,,,,
"
      UEC307
    ","
      ELectromagenticFieldTheory&TransmissionLines
",Notes & Slides,third-year,1_Kb1v9j_4XM7KZG8yG5olnaSUOV9BmWh,encece,emft.html,,,,
"
      UEC307
    ","
      ELectromagenticFieldTheory&TransmissionLines
",Tutorials,third-year,1D15pZLmehUeWcq2ToWbgck-v4bWpZSD_,encece,emft.html,,,,
"
      UEC307
    ","
      ELectromagenticFieldTheory&TransmissionLines
",Tutorial Solutions,third-year,14ML1F7V3YjkgMzE0IT3Ga7L487hYbbtX,encece,emft.html,,,,
"
      UEC307
    ","
      ELectromagenticFieldTheory&TransmissionLines
",Previous Year Papers,third-year,1IIsqUi7v-ut079pp1GiVKKgHWb1-YeN0,encece,emft.html,,,,
"
      UEC401
    ","
      AnalogCommunicationSystems
",Syllabus,third-year,15HrLIG2B995Yd5MRLrXdVKLTgFt6DQOa,encece,acsys.html,,,,
"
      UEC401
    ","
      AnalogCommunicationSystems
",Books/Lab Material,third-year,1QEv6vdEwPZckopOXa6dEPzdTe6BkC_ZI,encece,acsys.html,,,,
"
      UEC401
    ","
      AnalogCommunicationSystems
",Notes & Slides,third-year,14BRQ0CfDQ1tcOyP2jLKtnuiybQclGyXO,encece,acsys.html,,,,
"
      UEC401
    ","
      AnalogCommunicationSystems
",Tutorials,third-year,1hxF5uNEVdZwfcRcDtrMBHp2V8CIIR5MK,encece,acsys.html,,,,
"
      UEC401
    ","
      AnalogCommunicationSystems
",Tutorial Solutions,third-year,1n-l-_xGqNNr8zHRxzkbUK60eTJZfNH4M,encece,acsys.html,,,,
"
      UEC401
    ","
      AnalogCommunicationSystems
",Previous Year Papers,third-year,1X2A_f-oNDjAQCcAmeRO6Lq3T_PfEudy5,encece,acsys.html,,,,
"
      UTA012
    ","
      Innovation&Entrepreneurship
",Syllabus,third-year,1z6R16F-NspB-OypSON7TznxShpYC_aMj,Common,innovationentre.html,,,,
"
      UTA012
    ","
      Innovation&Entrepreneurship
",Notes & Slides,third-year,1yTR7C0aAD9hZRqKYpkm22N3ge6I8TRTT,Common,innovationentre.html,,,,
"
      UTA012
    ","
      Innovation&Entrepreneurship
",Lab,third-year,1274LysGvGREIE8JgsAg-vP1atOFutiNK,Common,innovationentre.html,,,,
"
      UTA012
    ","
      Innovation&Entrepreneurship
",Old Assignments,third-year,1fa8oUFM-yMwnfxJqsLyNVa-SPlAhfBkz,Common,innovationentre.html,,,,
"
      UTA012
    ","
      Innovation&Entrepreneurship
",Previous Year Quizzes,third-year,1tJEybtpyhXdr4dNlBAKjHktiMkKg1SCK,Common,innovationentre.html,,,,
"
    UCS616
  ","
    Advanced
    Datastructures&algorithms
  ",Syllabus,third-year,1DRiCKVxH8WiAdIoSCdeHQU4QyH4A_3yf,cse,adsa.html,,,,
"
    UCS616
  ","
    Advanced
    Datastructures&algorithms
  ",Books,third-year,1fIqqFaTuuDuBfkutp4HgOd5ogwKy4Uw6,cse,adsa.html,,,,
"
    UCS616
  ","
    Advanced
    Datastructures&algorithms
  ","Lab
      Assignment",third-year,1NVc6mCerqCFpySILJMZnyf3ySYLCoMdQ,cse,adsa.html,,,,
"
    UCS616
  ","
    Advanced
    Datastructures&algorithms
  ","Notes &
      Slides",third-year,1TRnrSRW3UxnS5rfbAZecrg3djLPcy8ar,cse,adsa.html,,,,
"
    UCS616
  ","
    Advanced
    Datastructures&algorithms
  ","Previous Year
      Papers",third-year,1vxSYow4KlFc3MkVGGUlC2oDyRrABbpjt,cse,adsa.html,,,,
"
      UCS310
    ","
      ProfessionalPractices
",Syllabus,third-year,1zhIezidTVc9buK0Jol7iIYN7h9GR4Kdl,cse,professionalpractices.html,,,,
"
      UCS310
    ","
      ProfessionalPractices
",Notes & Slides,third-year,144E3S4-6fZKLI4kTLA73IVx_H473BArQ,cse,professionalpractices.html,,,,
"
      UCS701
    ","
      Theoryof Computation
",Syllabus,third-year,"1oXfcoxRbYsqs-ZG8tvMnu8l6H9DFnN4m
        ",cse,toc.html,,,,
"
      UCS701
    ","
      Theoryof Computation
",Books/Lab Material,third-year,"13AIL4WRpvYPy3YpwUgL-YZyC9Pd9-k8n
        ",cse,toc.html,,,,
"
      UCS701
    ","
      Theoryof Computation
",Notes & Slides,third-year,"1UGzxOABsFOks-UclvPE0Fon8o7pSt4OI
        ",cse,toc.html,,,,
"
      UCS701
    ","
      Theoryof Computation
",Tutorials,third-year,"1DGFNJrErlRPXozwUqZQNGX7cxilfVt1g
        ",cse,toc.html,,,,
"
      UCS701
    ","
      Theoryof Computation
",Tutorial Solutions,third-year,"1rWUE1WvrAdB09Ze5ok7jDgVe8LB03f_-
        ",cse,toc.html,,,,
"
      UCS701
    ","
      Theoryof Computation
",Previous Year Papers,third-year,"11rIRkIc84QOWXFq57rc763S2YM1PuH3y
        ",cse,toc.html,,,,
"
      UCS507
    ","
      ComputerArchitecture& Organisation
    ",Syllabus,third-year,1Df7XEhqKO4jm5UPW0pCq_xw9OlB7x5sp,cse,comparchorg.html,,,,
"
      UCS507
    ","
      ComputerArchitecture& Organisation
    ",Books,third-year,1eGpGBJ7Ra_QxjgvVSjj5g9DU6QqQikHO,cse,comparchorg.html,,,,
"
      UCS507
    ","
      ComputerArchitecture& Organisation
    ",Lab,third-year,1yL0T7P4pEmZ7NCWOK1_NzPfw8vT_EW9u,cse,comparchorg.html,,,,
"
      UCS507
    ","
      ComputerArchitecture& Organisation
    ",Quiz,third-year,1pfBvgYqXyhxLb8PnU2uDPbiaef5nUw4a,cse,comparchorg.html,,,,
"
      UCS507
    ","
      ComputerArchitecture& Organisation
    ",Notes & Slides,third-year,1QmuthC8rQ55S307Bb2BYFiybxQh6pFTw,cse,comparchorg.html,,,,
"
      UCS507
    ","
      ComputerArchitecture& Organisation
    ",Previous Year Papers,third-year,1i_YWQ_wtod1of3A7OZ-p1g4xGXJvAZUC,cse,comparchorg.html,,,,
"
      UCS521
    ","
      ArtificialIntelligence
",Books,third-year,1nZblnQTgIxVYGY-LJ_PvU7Iifqwy7kAi,cse,artificalintelligence.html,,,,
"
      UCS521
    ","
      ArtificialIntelligence
",Notes & Slides,third-year,1DnuJYq8qzbyaJeyTBX_tGRBXbct7cPeK,cse,artificalintelligence.html,,,,
"
      UCS521
    ","
      ArtificialIntelligence
",Tutorials,third-year,14AT3RUYsLfOQ7QIOYnjzMS-85zQARxM7,cse,artificalintelligence.html,,,,
"
      UCS521
    ","
      ArtificialIntelligence
",Tutorial Solutions,third-year,1naZVDTHm-QTvqRbdzHKHbGedb1Co6Y04,cse,artificalintelligence.html,,,,
"
      UCS521
    ","
      ArtificialIntelligence
",Previous Year Papers,third-year,19xkrG-XgCGfbylOj0gdXb_NbYjmLU4Ho,cse,artificalintelligence.html,,,,
"
      UCS617
    ","
      Microprocessors
",Syllabus,third-year,1gtAKQSJRM4xv2ccuA5I1494lzst1p2YH,cse,microprocessor.html,,,,
"
      UCS617
    ","
      Microprocessors
",Lab,third-year,"1y41Ae-9w1Ark2lfDMaJLKQpk4wOoo2L9

        ",cse,microprocessor.html,,,,
"
      UCS617
    ","
      Microprocessors
",Books,third-year,1oSO8NoY9yTo98kOPyFl8lRU1Wft7DFCF,cse,microprocessor.html,,,,
"
      UCS617
    ","
      Microprocessors
",Notes & Slides,third-year,1s8E0Q-JoDv8wqFqew4c016I5xA7nHWH3,cse,microprocessor.html,,,,
"
      UCS617
    ","
      Microprocessors
",Previous Year Papers,third-year,"1Cn4JL_yfZi6QEjaof5yXmvcjX7ZC8dvZ

        ",cse,microprocessor.html,,,,
"
      UCS507

    ","
      ComputerArchitecture
",Lab,third-year,1yL0T7P4pEmZ7NCWOK1_NzPfw8vT_EW9u,cse,comparch.html,,,,
"
      UCS507

    ","
      ComputerArchitecture
",Books,third-year,1eGpGBJ7Ra_QxjgvVSjj5g9DU6QqQikHO,cse,comparch.html,,,,
"
      UCS507

    ","
      ComputerArchitecture
",Notes & Slides,third-year,1QmuthC8rQ55S307Bb2BYFiybxQh6pFTw,cse,comparch.html,,,,
"
      UCS507

    ","
      ComputerArchitecture
",Previous Year Papers,third-year,1i_YWQ_wtod1of3A7OZ-p1g4xGXJvAZUC,cse,comparch.html,,,,
"
      UCSXXX
    ","
      ImageProcessing
",Notes & Slides,third-year,"14O38RotoXO7G0Ci3VhXckEYw9i5lMB2D

        ",cse,imgpros.html,,,,
"
      UCS503
    ","
      SoftwareEngineering
",Lab,third-year,1v60vBuFtWcXAL-aQyf_E5pu3SQ5iDBSo,cse,softeng.html,,,,
"
      UCS503
    ","
      SoftwareEngineering
",Books,third-year,1KcCi7mBTlMBxanJZfcU22eiO6OK1GTFZ,cse,softeng.html,,,,
"
      UCS503
    ","
      SoftwareEngineering
",Notes & Slides,third-year,1ag7H_5GvmM4HErdZiNmgxk_EdiAXYNl0,cse,softeng.html,,,,
"
      UCS503
    ","
      SoftwareEngineering
",Previous Year Papers,third-year,1ROrBbfMIG0kD3CFUS8Ukziq7Xg2ld1Fs,cse,softeng.html,,,,
"
            UCS614
        ","
            EmbeddedSystems
",Syllabus,third-year,11fhVnwMT9jwEAimEIt3zxf4xztTWUu3c,cse,embeddedsys.html,,,,
"
            UCS614
        ","
            EmbeddedSystems
",Lab,third-year,1hNtuDqUlkognC2vyM7GnjbmTepCeumoQ,cse,embeddedsys.html,,,,
"
            UCS614
        ","
            EmbeddedSystems
",Books,third-year,1soRmNoych9XS78DuFO1HQLtcxLHxigUc,cse,embeddedsys.html,,,,
"
            UCS614
        ","
            EmbeddedSystems
",Notes & Slides,third-year,"12eFiw7sqcCuTOkkxFytzugFPbrjT6JuS
        ",cse,embeddedsys.html,,,,
"
            UCS614
        ","
            EmbeddedSystems
",Previous Year Papers,third-year,"1cW9aXVbQlgGzxGDY3rarGnQ0r4FCDl5e
        ",cse,embeddedsys.html,,,,
"
      UCS614
    ","
      ComputerArchitecture& Architecture
    ",Lab,third-year,14usany7y80NDQkasoaWix8qCpRVHDjbC,cse,machinelearning.html,,,,
"
      UCS614
    ","
      ComputerArchitecture& Architecture
    ",Notes & Slides,third-year,"1mYfZ1X7i6sQdjWqUuIglPu8D8iKTkaks
        ",cse,machinelearning.html,,,,
"
      UCS614
    ","
      ComputerArchitecture& Architecture
    ",Previous Year Papers,third-year,"17Ge-UvIUXWgtpAf0rLVCQhTqhL8f4Iht
        ",cse,machinelearning.html,,,,
